equipment_code,equipment_type,month,predicted_service_prob,predicted_service_label,severity,confidence_bucket,scenario_mode
EL105,Elevator,2027-05-01,0.758736,1,URGENT,high,baseline
EL105,Elevator,2027-06-01,0.780554,1,URGENT,high,baseline
EL105,Elevator,2027-07-01,0.777967,1,URGENT,high,baseline
EL105,Elevator,2027-08-01,0.771168,1,URGENT,high,baseline
EL105,Elevator,2027-09-01,0.769184,1,URGENT,high,baseline
EL105,Elevator,2027-10-01,0.770374,1,URGENT,high,baseline
EL105,Elevator,2027-11-01,0.77539,1,URGENT,high,baseline
EL105,Elevator,2027-12-01,0.779014,1,URGENT,high,baseline
EL105,Elevator,2028-01-01,0.743206,1,URGENT,high,baseline
EL105,Elevator,2028-02-01,0.756899,1,URGENT,high,baseline
EL105,Elevator,2028-03-01,0.766572,1,URGENT,high,baseline
EL105,Elevator,2028-04-01,0.770686,1,URGENT,high,baseline
EL105,Elevator,2028-05-01,0.773619,1,URGENT,high,baseline
EL105,Elevator,2028-06-01,0.780554,1,URGENT,high,baseline
EL105,Elevator,2028-07-01,0.777967,1,URGENT,high,baseline
EL105,Elevator,2028-08-01,0.771168,1,URGENT,high,baseline
EL105,Elevator,2028-09-01,0.769184,1,URGENT,high,baseline
EL105,Elevator,2028-10-01,0.770374,1,URGENT,high,baseline
EL105,Elevator,2028-11-01,0.77539,1,URGENT,high,baseline
EL105,Elevator,2028-12-01,0.779014,1,URGENT,high,baseline
EL105,Elevator,2029-01-01,0.743206,1,URGENT,high,baseline
EL105,Elevator,2029-02-01,0.756899,1,URGENT,high,baseline
EL105,Elevator,2029-03-01,0.766572,1,URGENT,high,baseline
EL105,Elevator,2029-04-01,0.770686,1,URGENT,high,baseline
EL105,Elevator,2029-05-01,0.773619,1,URGENT,high,baseline
EL105,Elevator,2029-06-01,0.780554,1,URGENT,high,baseline
EL105,Elevator,2029-07-01,0.777967,1,URGENT,high,baseline
EL105,Elevator,2029-08-01,0.771168,1,URGENT,high,baseline
EL105,Elevator,2029-09-01,0.769184,1,URGENT,high,baseline
EL105,Elevator,2029-10-01,0.770374,1,URGENT,high,baseline
EL105,Elevator,2029-11-01,0.77539,1,URGENT,high,baseline
EL105,Elevator,2029-12-01,0.779014,1,URGENT,high,baseline
EL106,Elevator,2027-01-01,0.847306,1,URGENT,very_high,baseline
EL106,Elevator,2027-02-01,0.755578,1,URGENT,high,baseline
EL106,Elevator,2027-03-01,0.758317,1,URGENT,high,baseline
EL106,Elevator,2027-04-01,0.769359,1,URGENT,high,baseline
EL106,Elevator,2027-05-01,0.764704,1,URGENT,high,baseline
EL106,Elevator,2027-06-01,0.778515,1,URGENT,high,baseline
EL106,Elevator,2027-07-01,0.779899,1,URGENT,high,baseline
EL106,Elevator,2027-08-01,0.781159,1,URGENT,high,baseline
EL106,Elevator,2027-09-01,0.78158,1,URGENT,high,baseline
EL106,Elevator,2027-10-01,0.781058,1,URGENT,high,baseline
EL106,Elevator,2027-11-01,0.802339,1,URGENT,very_high,baseline
EL106,Elevator,2027-12-01,0.810074,1,URGENT,very_high,baseline
EL106,Elevator,2028-01-01,0.756168,1,URGENT,high,baseline
EL106,Elevator,2028-02-01,0.748368,1,URGENT,high,baseline
EL106,Elevator,2028-03-01,0.763999,1,URGENT,high,baseline
EL106,Elevator,2028-04-01,0.768902,1,URGENT,high,baseline
EL106,Elevator,2028-05-01,0.773708,1,URGENT,high,baseline
EL106,Elevator,2028-06-01,0.778515,1,URGENT,high,baseline
EL106,Elevator,2028-07-01,0.779899,1,URGENT,high,baseline
EL106,Elevator,2028-08-01,0.781159,1,URGENT,high,baseline
EL106,Elevator,2028-09-01,0.78158,1,URGENT,high,baseline
EL106,Elevator,2028-10-01,0.781058,1,URGENT,high,baseline
EL106,Elevator,2028-11-01,0.802339,1,URGENT,very_high,baseline
EL106,Elevator,2028-12-01,0.810074,1,URGENT,very_high,baseline
EL106,Elevator,2029-01-01,0.756168,1,URGENT,high,baseline
EL106,Elevator,2029-02-01,0.748368,1,URGENT,high,baseline
EL106,Elevator,2029-03-01,0.763999,1,URGENT,high,baseline
EL106,Elevator,2029-04-01,0.768902,1,URGENT,high,baseline
EL106,Elevator,2029-05-01,0.773708,1,URGENT,high,baseline
EL106,Elevator,2029-06-01,0.778515,1,URGENT,high,baseline
EL106,Elevator,2029-07-01,0.779899,1,URGENT,high,baseline
EL106,Elevator,2029-08-01,0.781159,1,URGENT,high,baseline
EL106,Elevator,2029-09-01,0.78158,1,URGENT,high,baseline
EL106,Elevator,2029-10-01,0.781058,1,URGENT,high,baseline
EL106,Elevator,2029-11-01,0.802339,1,URGENT,very_high,baseline
EL106,Elevator,2029-12-01,0.810074,1,URGENT,very_high,baseline
EL107,Elevator,2027-01-01,0.864225,1,URGENT,very_high,baseline
EL107,Elevator,2027-02-01,0.768157,1,URGENT,high,baseline
EL107,Elevator,2027-03-01,0.749401,1,URGENT,high,baseline
EL107,Elevator,2027-04-01,0.757041,1,URGENT,high,baseline
EL107,Elevator,2027-05-01,0.777118,1,URGENT,high,baseline
EL107,Elevator,2027-06-01,0.776143,1,URGENT,high,baseline
EL107,Elevator,2027-07-01,0.77401,1,URGENT,high,baseline
EL107,Elevator,2027-08-01,0.773782,1,URGENT,high,baseline
EL107,Elevator,2027-09-01,0.77333,1,URGENT,high,baseline
EL107,Elevator,2027-10-01,0.771331,1,URGENT,high,baseline
EL107,Elevator,2027-11-01,0.7776,1,URGENT,high,baseline
EL107,Elevator,2027-12-01,0.796484,1,URGENT,high,baseline
EL107,Elevator,2028-01-01,0.740789,1,URGENT,high,baseline
EL107,Elevator,2028-02-01,0.743423,1,URGENT,high,baseline
EL107,Elevator,2028-03-01,0.758204,1,URGENT,high,baseline
EL107,Elevator,2028-04-01,0.76574,1,URGENT,high,baseline
EL107,Elevator,2028-05-01,0.778464,1,URGENT,high,baseline
EL107,Elevator,2028-06-01,0.776143,1,URGENT,high,baseline
EL107,Elevator,2028-07-01,0.77401,1,URGENT,high,baseline
EL107,Elevator,2028-08-01,0.773782,1,URGENT,high,baseline
EL107,Elevator,2028-09-01,0.77333,1,URGENT,high,baseline
EL107,Elevator,2028-10-01,0.771331,1,URGENT,high,baseline
EL107,Elevator,2028-11-01,0.7776,1,URGENT,high,baseline
EL107,Elevator,2028-12-01,0.796484,1,URGENT,high,baseline
EL107,Elevator,2029-01-01,0.740789,1,URGENT,high,baseline
EL107,Elevator,2029-02-01,0.743423,1,URGENT,high,baseline
