date,ofns_desc,pd_desc,law_cat_cd,boro_nm,station_name,year,month,month_year
2023-12-18,PETIT LARCENY,"LARCENY,PETIT FROM OPEN AREAS,",MISDEMEANOR,MANHATTAN,34 ST.-PENN STATION,2023,12,2023-12
2023-12-19,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,MISDEMEANOR,MANHATTAN,W. 4 STREET,2023,12,2023-12
2023-12-19,OFFENSES AGAINST PUBLIC ADMINI,RESISTING ARREST,MISDEMEANOR,MANHATTAN,BROADWAY/LAFAYETTE,2023,12,2023-12
2023-12-19,OTHER OFFENSES RELATED TO THEF,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,BROOKLYN,BOROUGH HALL,2023,12,2023-12
2023-12-19,HARRASSMENT 2,"HARASSMENT,SUBD 1,CIVILIAN",VIOLATION,MANHATTAN,UNION SQUARE,2023,12,2023-12
2023-12-19,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",VIOLATION,MANHATTAN,28 STREET,2023,12,2023-12
2023-12-19,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",VIOLATION,MANHATTAN,DELANCEY STREET,2023,12,2023-12
2023-12-19,OTHER OFFENSES RELATED TO THEF,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,MANHATTAN,42 ST.-PORT AUTHORITY BUS TERM,2023,12,2023-12
2023-12-19,OTHER OFFENSES RELATED TO THEF,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,MANHATTAN,14 ST.-UNION SQUARE,2023,12,2023-12
2023-12-19,OTHER OFFENSES RELATED TO THEF,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,MANHATTAN,34 ST.-PENN STATION,2023,12,2023-12
2023-12-19,BURGLAR'S TOOLS,"BURGLARS TOOLS,UNCLASSIFIED",MISDEMEANOR,MANHATTAN,42 ST.-PORT AUTHORITY BUS TERM,2023,12,2023-12
2023-12-19,MISCELLANEOUS PENAL LAW,MAKING TERRORISTIC THREAT,FELONY,MANHATTAN,59 ST.-COLUMBUS CIRCLE,2023,12,2023-12
2023-12-19,SEX CRIMES,"SEXUAL ABUSE 3,2",MISDEMEANOR,MANHATTAN,14 STREET,2023,12,2023-12
2023-12-19,OTHER OFFENSES RELATED TO THEF,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,MANHATTAN,59 ST.-COLUMBUS CIRCLE,2023,12,2023-12
2023-12-18,ROBBERY,"ROBBERY,OPEN AREA UNCLASSIFIED",FELONY,MANHATTAN,72 STREET,2023,12,2023-12
