date,ofns_desc,pd_desc,law_cat_cd,boro_nm,station_name,year,month,month_year
2024-12-31,ADMINISTRATIVE CODE,N.Y.C. TRANSIT AUTH. R&R,VIOLATION,BRONX,205 ST.-NORWOOD,2024,12,2024-12
2024-12-31,PETIT LARCENY,"LARCENY,PETIT FROM OPEN AREAS,",MISDEMEANOR,BRONX,EAST TREMONT AVE.-WEST FARMS S,2024,12,2024-12
2024-12-31,OTHER OFFENSES RELATED TO THEFT,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,BROOKLYN,CRESCENT STREET,2024,12,2024-12
2024-12-31,OTHER OFFENSES RELATED TO THEFT,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,QUEENS,ROOSEVELT AVE.-JACKSON HEIGHTS,2024,12,2024-12
2024-12-31,OTHER OFFENSES RELATED TO THEFT,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,BRONX,EAST 180 STREET,2024,12,2024-12
2024-12-30,PETIT LARCENY,"LARCENY,PETIT FROM OPEN AREAS,",MISDEMEANOR,MANHATTAN,6 AVENUE,2024,12,2024-12
2024-12-31,CRIMINAL TRESPASS,"TRESPASS 3, CRIMINAL",MISDEMEANOR,MANHATTAN,42 ST.-TIMES SQUARE,2024,12,2024-12
2024-12-22,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",MISDEMEANOR,MANHATTAN,CHAMBERS STREET,2024,12,2024-12
2024-12-30,GRAND LARCENY,"LARCENY,GRAND FROM PERSON,PICK",FELONY,BROOKLYN,MYRTLE AVENUE,2024,12,2024-12
2024-12-31,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",VIOLATION,MANHATTAN,23 STREET,2024,12,2024-12
2024-12-13,PETIT LARCENY,"LARCENY,PETIT FROM OPEN AREAS,",MISDEMEANOR,BROOKLYN,BROADWAY-EASTERN PKWY,2024,12,2024-12
2024-12-29,GRAND LARCENY,"LARCENY,GRAND FROM PERSON,PICK",FELONY,MANHATTAN,42 ST.-TIMES SQUARE,2024,12,2024-12
2024-12-31,FELONY ASSAULT,ASSAULT POLICE/PEACE OFFICER,FELONY,QUEENS,FAR ROCKAWAY-MOTT AVE.,2024,12,2024-12
2024-12-31,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",FELONY,MANHATTAN,18 STREET,2024,12,2024-12
2024-12-31,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,MISDEMEANOR,MANHATTAN,14 STREET,2024,12,2024-12
2024-12-31,DANGEROUS DRUGS,"CONTROLLED SUBSTANCE, POSSESSI",MISDEMEANOR,BROOKLYN,CRESCENT STREET,2024,12,2024-12
2024-12-30,CRIMINAL MISCHIEF & RELATED OF,CRIMINAL MIS 2 & 3,FELONY,BROOKLYN,BRIGHTON BEACH,2024,12,2024-12
2024-12-31,OTHER OFFENSES RELATED TO THEFT,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,BRONX,BURNSIDE AVENUE,2024,12,2024-12
2024-12-31,OTHER OFFENSES RELATED TO THEFT,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,MANHATTAN,86 STREET,2024,12,2024-12
2024-12-31,SEX CRIMES,"SEXUAL ABUSE 3,2",MISDEMEANOR,MANHATTAN,42 STREET,2024,12,2024-12
2024-12-31,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,MISDEMEANOR,MANHATTAN,33 STREET,2024,12,2024-12
2024-12-31,GRAND LARCENY,"LARCENY,GRAND FROM PERSON,LUSH WORKER(SLEEPING/UNCON VICTIM)",FELONY,BROOKLYN,UTICA AVENUE,2024,12,2024-12
2024-12-31,OTHER OFFENSES RELATED TO THEFT,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,BROOKLYN,UTICA AVE.-CROWN HEIGHTS,2024,12,2024-12
2024-12-31,CRIMINAL MISCHIEF & RELATED OF,CRIMINAL MIS 2 & 3,FELONY,QUEENS,ASTORIA BLVD.,2024,12,2024-12
2024-12-31,MISCELLANEOUS PENAL LAW,MENACING 1ST DEGREE (VICT PEAC,FELONY,BROOKLYN,JAY STREET-BOROUGH HALL,2024,12,2024-12
2024-12-30,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF,CRIMINAL,    UNCL 2ND",FELONY,QUEENS,HUNTERS POINT AVENUE,2024,12,2024-12
2024-12-30,OTHER OFFENSES RELATED TO THEFT,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,BRONX,3 AVENUE-149 STREET,2024,12,2024-12
2024-07-07,CRIMINAL MISCHIEF & RELATED OF,"TAMPERING 1,CRIMINAL",FELONY,BRONX,FORDHAM ROAD,2024,7,2024-07
2024-09-20,CRIMINAL MISCHIEF & RELATED OF,"TAMPERING 1,CRIMINAL",FELONY,BROOKLYN,JAY STREET-BOROUGH HALL,2024,9,2024-09
2024-03-25,CRIMINAL MISCHIEF & RELATED OF,"TAMPERING 1,CRIMINAL",FELONY,BRONX,FORDHAM ROAD,2024,3,2024-03
2024-12-23,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",MISDEMEANOR,BROOKLYN,FLUSHING AVENUE,2024,12,2024-12
2024-12-30,OTHER OFFENSES RELATED TO THEFT,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,MANHATTAN,157 STREET,2024,12,2024-12
2024-12-30,DANGEROUS DRUGS,"CONTROLLED SUBSTANCE, POSSESSI",MISDEMEANOR,BRONX,TREMONT AVENUE,2024,12,2024-12
2024-07-11,CRIMINAL MISCHIEF & RELATED OF,"TAMPERING 1,CRIMINAL",FELONY,BROOKLYN,JAY STREET-BOROUGH HALL,2024,7,2024-07
2024-12-29,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",FELONY,QUEENS,MYRTLE/WYCKOFF AVENUES,2024,12,2024-12
2024-12-30,HARRASSMENT 2,"HARASSMENT,SUBD 1,CIVILIAN",VIOLATION,MANHATTAN,WHITEHALL ST.-SOUTH FERRY,2024,12,2024-12
2024-06-09,CRIMINAL MISCHIEF & RELATED OF,"TAMPERING 1,CRIMINAL",FELONY,BRONX,FORDHAM ROAD,2024,6,2024-06
2024-12-01,CRIMINAL MISCHIEF & RELATED OF,"TAMPERING 1,CRIMINAL",FELONY,BROOKLYN,JAY STREET-BOROUGH HALL,2024,12,2024-12
2024-01-21,CRIMINAL MISCHIEF & RELATED OF,"TAMPERING 1,CRIMINAL",FELONY,BROOKLYN,JAY STREET-BOROUGH HALL,2024,1,2024-01
2024-11-08,CRIMINAL MISCHIEF & RELATED OF,"TAMPERING 1,CRIMINAL",FELONY,BROOKLYN,JAY STREET-BOROUGH HALL,2024,11,2024-11
2024-12-30,MISCELLANEOUS PENAL LAW,EXPOSURE OF A PERSON,VIOLATION,BRONX,TREMONT AVENUE,2024,12,2024-12
2024-12-30,PETIT LARCENY,"LARCENY,PETIT FROM OPEN AREAS,",MISDEMEANOR,BROOKLYN,METROPOLITAN AVENUE,2024,12,2024-12
2024-12-30,THEFT-FRAUD,"THEFT,RELATED OFFENSES,UNCLASS",FELONY,BRONX,161 ST.-YANKEE STADIUM,2024,12,2024-12
2024-12-30,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,MISDEMEANOR,MANHATTAN,UNION SQUARE,2024,12,2024-12
2024-12-30,OTHER OFFENSES RELATED TO THEFT,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,BROOKLYN,STILLWELL AVENUE-CONEY ISLAND,2024,12,2024-12
2023-06-26,CRIMINAL MISCHIEF & RELATED OF,"TAMPERING 1,CRIMINAL",FELONY,BROOKLYN,NOSTRAND AVENUE,2023,6,2023-06
2024-12-30,CRIMINAL TRESPASS,"TRESPASS 3, CRIMINAL",MISDEMEANOR,MANHATTAN,W. 4 STREET,2024,12,2024-12
2024-12-27,CRIMINAL MISCHIEF & RELATED OF,CRIMINAL MIS 2 & 3,FELONY,QUEENS,DITMARS BLVD.-ASTORIA,2024,12,2024-12
2024-12-30,DANGEROUS DRUGS,"CONTROLLED SUBSTANCE, POSSESSI",MISDEMEANOR,MANHATTAN,145 STREET,2024,12,2024-12
2023-05-21,CRIMINAL MISCHIEF & RELATED OF,"TAMPERING 1,CRIMINAL",FELONY,BROOKLYN,NOSTRAND AVENUE,2023,5,2023-05
2024-12-30,OTHER OFFENSES RELATED TO THEFT,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,BROOKLYN,ALABAMA AVENUE,2024,12,2024-12
2024-12-30,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",FELONY,QUEENS,HUNTERS POINT AVENUE,2024,12,2024-12
2024-07-24,CRIMINAL MISCHIEF & RELATED OF,"TAMPERING 1,CRIMINAL",FELONY,BROOKLYN,NEVINS STREET,2024,7,2024-07
2024-12-30,DANGEROUS WEAPONS,"WEAPONS, POSSESSION, ETC",MISDEMEANOR,MANHATTAN,86 STREET,2024,12,2024-12
2024-08-27,CRIMINAL MISCHIEF & RELATED OF,"TAMPERING 1,CRIMINAL",FELONY,BROOKLYN,NEVINS STREET,2024,8,2024-08
2023-05-26,CRIMINAL MISCHIEF & RELATED OF,"TAMPERING 1,CRIMINAL",FELONY,BROOKLYN,NOSTRAND AVENUE,2023,5,2023-05
2024-12-30,OFFENSES AGAINST PUBLIC ADMINI,"PUBLIC ADMINISTATION,UNCLASS M",MISDEMEANOR,MANHATTAN,DELANCEY STREET,2024,12,2024-12
2024-12-30,PETIT LARCENY,"LARCENY,PETIT BY ACQUIRING LOS",MISDEMEANOR,MANHATTAN,181 STREET,2024,12,2024-12
2024-12-30,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",MISDEMEANOR,BROOKLYN,UTICA AVE.-CROWN HEIGHTS,2024,12,2024-12
2023-05-25,CRIMINAL MISCHIEF & RELATED OF,"TAMPERING 1,CRIMINAL",FELONY,BROOKLYN,NOSTRAND AVENUE,2023,5,2023-05
2024-12-30,OTHER OFFENSES RELATED TO THEFT,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,BROOKLYN,NEVINS STREET,2024,12,2024-12
2024-06-24,CRIMINAL MISCHIEF & RELATED OF,"TAMPERING 1,CRIMINAL",FELONY,BROOKLYN,NEVINS STREET,2024,6,2024-06
2024-10-20,CRIMINAL MISCHIEF & RELATED OF,"TAMPERING 1,CRIMINAL",FELONY,BROOKLYN,JAY STREET-BOROUGH HALL,2024,10,2024-10
2024-12-30,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,MISDEMEANOR,MANHATTAN,14 STREET,2024,12,2024-12
2024-03-08,CRIMINAL MISCHIEF & RELATED OF,"TAMPERING 1,CRIMINAL",FELONY,BROOKLYN,JAY STREET-BOROUGH HALL,2024,3,2024-03
2024-12-30,HARRASSMENT 2,"HARASSMENT,SUBD 1,CIVILIAN",VIOLATION,MANHATTAN,DELANCEY STREET,2024,12,2024-12
2024-12-30,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",VIOLATION,BROOKLYN,ALABAMA AVENUE,2024,12,2024-12
2024-12-30,OTHER OFFENSES RELATED TO THEFT,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,BROOKLYN,SARATOGA AVENUE,2024,12,2024-12
2024-12-30,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,MISDEMEANOR,MANHATTAN,42 STREET,2024,12,2024-12
2024-02-06,CRIMINAL MISCHIEF & RELATED OF,"TAMPERING 1,CRIMINAL",FELONY,BROOKLYN,JAY STREET-BOROUGH HALL,2024,2,2024-02
2024-09-21,CRIMINAL MISCHIEF & RELATED OF,"TAMPERING 1,CRIMINAL",FELONY,BROOKLYN,NEVINS STREET,2024,9,2024-09
2024-12-30,OTHER OFFENSES RELATED TO THEFT,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,MANHATTAN,UNION SQUARE,2024,12,2024-12
2024-12-30,DANGEROUS DRUGS,"CONTROLLED SUBSTANCE,INTENT TO",FELONY,MANHATTAN,42 ST.-PORT AUTHORITY BUS TERM,2024,12,2024-12
2024-12-30,OTHER OFFENSES RELATED TO THEFT,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,BRONX,BROOK AVENUE,2024,12,2024-12
2024-10-05,CRIMINAL MISCHIEF & RELATED OF,"TAMPERING 1,CRIMINAL",FELONY,BRONX,FORDHAM ROAD,2024,10,2024-10
2024-12-30,OTHER OFFENSES RELATED TO THEFT,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,MANHATTAN,125 STREET,2024,12,2024-12
2024-12-30,OTHER OFFENSES RELATED TO THEFT,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,BRONX,TREMONT AVENUE,2024,12,2024-12
2024-12-30,FORGERY,"FORGERY,ETC.,UNCLASSIFIED-FELO",FELONY,BRONX,SIMPSON STREET,2024,12,2024-12
2024-08-31,CRIMINAL MISCHIEF & RELATED OF,"TAMPERING 1,CRIMINAL",FELONY,BROOKLYN,JAY STREET-BOROUGH HALL,2024,8,2024-08
2024-12-30,OTHER OFFENSES RELATED TO THEFT,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,MANHATTAN,34 STREET,2024,12,2024-12
2024-12-30,GRAND LARCENY,"LARCENY,GRAND FROM PERSON,PURS",FELONY,MANHATTAN,42 ST.-PORT AUTHORITY BUS TERM,2024,12,2024-12
2024-10-23,CRIMINAL MISCHIEF & RELATED OF,"TAMPERING 1,CRIMINAL",FELONY,BROOKLYN,NEVINS STREET,2024,10,2024-10
2024-08-06,CRIMINAL MISCHIEF & RELATED OF,"TAMPERING 1,CRIMINAL",FELONY,BRONX,FORDHAM ROAD,2024,8,2024-08
2024-12-30,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",VIOLATION,BROOKLYN,36 STREET,2024,12,2024-12
2024-04-24,CRIMINAL MISCHIEF & RELATED OF,"TAMPERING 1,CRIMINAL",FELONY,BROOKLYN,JAY STREET-BOROUGH HALL,2024,4,2024-04
2024-11-28,CRIMINAL MISCHIEF & RELATED OF,"TAMPERING 1,CRIMINAL",FELONY,BRONX,FORDHAM ROAD,2024,11,2024-11
2024-12-30,OFFENSES AGAINST PUBLIC ADMINI,"PUBLIC ADMINISTATION,UNCLASS M",MISDEMEANOR,BRONX,3 AVENUE-138 STREET,2024,12,2024-12
2024-12-30,DANGEROUS DRUGS,"CONTROLLED SUBSTANCE, POSSESSI",MISDEMEANOR,BROOKLYN,NEW LOTS AVENUE,2024,12,2024-12
2024-12-30,OTHER OFFENSES RELATED TO THEFT,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,BRONX,EAST 180 STREET,2024,12,2024-12
2024-12-30,OTHER OFFENSES RELATED TO THEFT,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,MANHATTAN,34 ST.-PENN STATION,2024,12,2024-12
2024-12-30,ADMINISTRATIVE CODE,N.Y.C. TRANSIT AUTH. R&R,VIOLATION,MANHATTAN,96TH STREET,2024,12,2024-12
2024-12-30,OTHER OFFENSES RELATED TO THEFT,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,BRONX,GUN HILL ROAD,2024,12,2024-12
2024-12-30,ROBBERY,"ROBBERY,PERSONAL ELECTRONIC DEVICE",FELONY,BROOKLYN,WINTHROP STREET,2024,12,2024-12
2024-04-03,CRIMINAL MISCHIEF & RELATED OF,"TAMPERING 1,CRIMINAL",FELONY,BRONX,FORDHAM ROAD,2024,4,2024-04
2023-11-13,CRIMINAL MISCHIEF & RELATED OF,"TAMPERING 1,CRIMINAL",FELONY,BRONX,170 STREET,2023,11,2023-11
2024-02-23,CRIMINAL MISCHIEF & RELATED OF,"TAMPERING 1,CRIMINAL",FELONY,BRONX,FORDHAM ROAD,2024,2,2024-02
2024-12-30,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",VIOLATION,BROOKLYN,WILSON AVENUE,2024,12,2024-12
2024-12-30,OTHER OFFENSES RELATED TO THEFT,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,BROOKLYN,BEVERLEY ROAD,2024,12,2024-12
2024-12-30,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,MISDEMEANOR,MANHATTAN,96 STREET,2024,12,2024-12
2024-12-30,PETIT LARCENY,"LARCENY,PETIT FROM OPEN AREAS,",MISDEMEANOR,MANHATTAN,168 ST.-WASHINGTON HTS.,2024,12,2024-12
2024-12-30,MISCELLANEOUS PENAL LAW,RECKLESS ENDANGERMENT 1,FELONY,BRONX,EAST 180 STREET,2024,12,2024-12
2024-12-30,OTHER OFFENSES RELATED TO THEFT,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,BRONX,EAST 174 STREET,2024,12,2024-12
2023-05-23,CRIMINAL MISCHIEF & RELATED OF,"TAMPERING 1,CRIMINAL",FELONY,BROOKLYN,NOSTRAND AVENUE,2023,5,2023-05
2024-12-30,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",FELONY,MANHATTAN,50 STREET,2024,12,2024-12
2024-12-30,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",VIOLATION,MANHATTAN,42 ST.-TIMES SQUARE,2024,12,2024-12
2024-12-25,CRIMINAL MISCHIEF & RELATED OF,CRIMINAL MIS 2 & 3,FELONY,MANHATTAN,ESSEX STREET,2024,12,2024-12
2024-12-29,ADMINISTRATIVE CODE,N.Y.C. TRANSIT AUTH. R&R,VIOLATION,BRONX,ELDER AVENUE,2024,12,2024-12
2024-12-29,OTHER OFFENSES RELATED TO THEFT,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,BROOKLYN,CRESCENT STREET,2024,12,2024-12
2024-12-29,DANGEROUS WEAPONS,"WEAPONS, POSSESSION, ETC",MISDEMEANOR,MANHATTAN,BROADWAY/LAFAYETTE,2024,12,2024-12
2024-12-29,OTHER OFFENSES RELATED TO THEFT,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,BRONX,161 ST.-YANKEE STADIUM,2024,12,2024-12
2024-12-29,DANGEROUS WEAPONS,WEAPONS POSSESSION 3,FELONY,BROOKLYN,STILLWELL AVENUE-CONEY ISLAND,2024,12,2024-12
2024-12-28,GRAND LARCENY,"LARCENY,GRAND FROM PERSON,PICK",FELONY,MANHATTAN,5 AVENUE,2024,12,2024-12
2024-12-29,OFFENSES AGAINST PUBLIC ADMINI,"PUBLIC ADMINISTATION,UNCLASS M",MISDEMEANOR,BROOKLYN,KOSCIUSKO STREET,2024,12,2024-12
2024-12-29,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF,CRIMINAL,    UNCL 2ND",FELONY,MANHATTAN,14 STREET,2024,12,2024-12
2024-12-28,GRAND LARCENY,"LARCENY,GRAND FROM PERSON,PICK",FELONY,QUEENS,21 ST.-QUEENSBRIDGE,2024,12,2024-12
2024-12-29,OTHER OFFENSES RELATED TO THEFT,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,BROOKLYN,SUTTER AVENUE-RUTLAND ROAD,2024,12,2024-12
2024-12-29,ADMINISTRATIVE CODE,N.Y.C. TRANSIT AUTH. R&R,VIOLATION,BRONX,149 ST.-GRAND CONCOURSE,2024,12,2024-12
2024-12-29,GRAND LARCENY,"LARCENY,GRAND FROM PERSON,LUSH WORKER(SLEEPING/UNCON VICTIM)",FELONY,BROOKLYN,WEST 8 STREET-NY AQUARIUM,2024,12,2024-12
2024-12-29,ADMINISTRATIVE CODE,N.Y.C. TRANSIT AUTH. R&R,VIOLATION,MANHATTAN,BROADWAY/LAFAYETTE,2024,12,2024-12
2024-12-29,RAPE,RAPE 1,FELONY,BROOKLYN,VAN SICLEN AVENUE,2024,12,2024-12
2024-12-29,DANGEROUS WEAPONS,WEAPONS POSSESSION 3,FELONY,BROOKLYN,BROADWAY-EASTERN PKWY,2024,12,2024-12
2024-12-29,OTHER OFFENSES RELATED TO THEFT,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,BRONX,TREMONT AVENUE,2024,12,2024-12
2024-12-29,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,MISDEMEANOR,QUEENS,QUEENSBORO PLAZA,2024,12,2024-12
2024-12-29,HARRASSMENT 2,"HARASSMENT,SUBD 1,CIVILIAN",VIOLATION,MANHATTAN,96 STREET,2024,12,2024-12
2024-12-29,FRAUDS,"IMPERSONATION 2, PUBLIC SERVAN",MISDEMEANOR,MANHATTAN,59 ST.-COLUMBUS CIRCLE,2024,12,2024-12
2024-12-29,DANGEROUS WEAPONS,"WEAPONS, POSSESSION, ETC",MISDEMEANOR,BROOKLYN,UTICA AVE.-CROWN HEIGHTS,2024,12,2024-12
2024-12-29,GRAND LARCENY,"LARCENY,GRAND FROM PERSON,LUSH WORKER(SLEEPING/UNCON VICTIM)",FELONY,BROOKLYN,JUNIUS STREET,2024,12,2024-12
2024-12-29,ROBBERY,"ROBBERY,PERSONAL ELECTRONIC DEVICE",FELONY,BROOKLYN,CRESCENT STREET,2024,12,2024-12
2024-12-29,OTHER OFFENSES RELATED TO THEFT,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,BRONX,JACKSON AVENUE,2024,12,2024-12
2024-12-29,HARRASSMENT 2,"HARASSMENT,SUBD 1,CIVILIAN",VIOLATION,MANHATTAN,42 ST.-PORT AUTHORITY BUS TERM,2024,12,2024-12
2024-12-29,OTHER OFFENSES RELATED TO THEFT,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,BROOKLYN,EUCLID AVENUE,2024,12,2024-12
2024-12-29,OTHER OFFENSES RELATED TO THEFT,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,BROOKLYN,UTICA AVENUE,2024,12,2024-12
2024-12-29,OTHER OFFENSES RELATED TO THEFT,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,BROOKLYN,KOSCIUSKO STREET,2024,12,2024-12
2024-12-29,OTHER OFFENSES RELATED TO THEFT,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,MANHATTAN,116 STREET,2024,12,2024-12
2024-12-29,DANGEROUS WEAPONS,"WEAPONS, POSSESSION, ETC",MISDEMEANOR,BRONX,149 ST.-GRAND CONCOURSE,2024,12,2024-12
2024-12-28,PETIT LARCENY,"LARCENY,PETIT FROM OPEN AREAS,",MISDEMEANOR,BROOKLYN,UTICA AVE.-CROWN HEIGHTS,2024,12,2024-12
2024-12-29,ASSAULT 3 & RELATED OFFENSES,"MENACING,PEACE OFFICER",MISDEMEANOR,MANHATTAN,42 ST.-PORT AUTHORITY BUS TERM,2024,12,2024-12
2024-12-29,OTHER OFFENSES RELATED TO THEFT,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,MANHATTAN,W. 4 STREET,2024,12,2024-12
2024-12-29,OTHER OFFENSES RELATED TO THEFT,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,MANHATTAN,UNION SQUARE,2024,12,2024-12
2024-12-29,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,MISDEMEANOR,MANHATTAN,50 STREET,2024,12,2024-12
2024-12-29,DANGEROUS WEAPONS,WEAPONS POSSESSION 3,FELONY,MANHATTAN,168 ST.-WASHINGTON HTS.,2024,12,2024-12
2024-12-29,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",VIOLATION,BROOKLYN,"AVENUE ""J""",2024,12,2024-12
2024-12-29,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",VIOLATION,MANHATTAN,FULTON STREET,2024,12,2024-12
2024-12-29,OTHER OFFENSES RELATED TO THEFT,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,BRONX,138 ST.-GRAND CONCOURSE,2024,12,2024-12
2024-12-29,OTHER OFFENSES RELATED TO THEFT,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,MANHATTAN,34 ST.-PENN STATION,2024,12,2024-12
2024-12-29,OTHER OFFENSES RELATED TO THEFT,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,BROOKLYN,UTICA AVE.-CROWN HEIGHTS,2024,12,2024-12
2024-12-29,ADMINISTRATIVE CODE,N.Y.C. TRANSIT AUTH. R&R,VIOLATION,MANHATTAN,59 ST.-COLUMBUS CIRCLE,2024,12,2024-12
2024-12-29,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",FELONY,MANHATTAN,42 ST.-TIMES SQUARE,2024,12,2024-12
2024-12-29,OTHER OFFENSES RELATED TO THEFT,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,QUEENS,90 ST.-ELMHURST AVE.,2024,12,2024-12
2024-12-29,CRIMINAL TRESPASS,"TRESPASS 3, CRIMINAL",MISDEMEANOR,BRONX,3 AVENUE-149 STREET,2024,12,2024-12
2024-12-29,OTHER OFFENSES RELATED TO THEFT,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,BROOKLYN,ROCKAWAY AVENUE,2024,12,2024-12
2024-12-28,FRAUDS,"IMPERSONATION 2, PUBLIC SERVAN",MISDEMEANOR,QUEENS,MAIN ST.-FLUSHING,2024,12,2024-12
2024-12-28,OTHER OFFENSES RELATED TO THEFT,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,BRONX,BURNSIDE AVENUE,2024,12,2024-12
2024-12-28,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",MISDEMEANOR,BROOKLYN,ATLANTIC AVENUE,2024,12,2024-12
2024-12-28,OTHER OFFENSES RELATED TO THEFT,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,BROOKLYN,SUTTER AVENUE-RUTLAND ROAD,2024,12,2024-12
2024-12-28,OTHER OFFENSES RELATED TO THEFT,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,BROOKLYN,UTICA AVENUE,2024,12,2024-12
2024-12-28,OTHER OFFENSES RELATED TO THEFT,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,BROOKLYN,59 STREET,2024,12,2024-12
2024-12-28,OFFENSES AGAINST PUBLIC ADMINI,"PUBLIC ADMINISTATION,UNCLASS M",MISDEMEANOR,BROOKLYN,NEW LOTS AVENUE,2024,12,2024-12
2024-12-28,DANGEROUS WEAPONS,WEAPONS POSSESSION 3,FELONY,BROOKLYN,NEW LOTS AVENUE,2024,12,2024-12
2024-12-28,OFFENSES AGAINST PUBLIC ADMINI,"PUBLIC ADMINISTATION,UNCLASS M",MISDEMEANOR,BRONX,BRONX PARK EAST,2024,12,2024-12
2024-12-28,ADMINISTRATIVE CODE,N.Y.C. TRANSIT AUTH. R&R,VIOLATION,QUEENS,74 ST.-BROADWAY,2024,12,2024-12
2024-12-28,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,MISDEMEANOR,MANHATTAN,50 STREET,2024,12,2024-12
2024-12-28,OTHER OFFENSES RELATED TO THEFT,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,BRONX,EAST 174 STREET,2024,12,2024-12
2024-12-27,GRAND LARCENY,"LARCENY,GRAND FROM PERSON,PICK",FELONY,MANHATTAN,49 STREET,2024,12,2024-12
2024-12-28,OTHER OFFENSES RELATED TO THEFT,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,QUEENS,PARSONS/ARCHER-JAMAICA CENTER,2024,12,2024-12
2024-12-28,OTHER OFFENSES RELATED TO THEFT,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,BRONX,FORDHAM ROAD,2024,12,2024-12
