station_name,avg_monthly_ridership
PARK PLACE,35832.0
PARKSIDE AVENUE,125963.0
PARSONS BLVD.,136095.0
PELHAM BAY PARK,108473.0
PELHAM PKWY.,183661.0
PENNSYLVANIA AVENUE,68049.0
PRINCE STREET,309737.0
PROSPECT AVENUE,234759.0
PROSPECT PARK,208410.0
QUEENS PLAZA,358613.0
QUEENSBORO PLAZA,300745.0
RALPH AVENUE,107682.0
RECTOR STREET,265040.0
ROCKAWAY AVENUE,188965.0
ROCKAWAY BLVD.,135480.0
ROCKAWAY PARK-BEACH 116 ST.,15106.0
ROOSEVELT ISLAND,190156.0
SARATOGA AVENUE,91109.0
SENECA AVENUE,59848.0
SHEEPSHEAD BAY,236305.0
SHEPHERD AVENUE,49869.0
SIMPSON STREET,140559.0
SPRING STREET,599922.0
ST. LAWRENCE AVENUE,79038.0
STEINWAY ST.,252991.0
STERLING STREET,111690.0
SUTPHIN BLVD.,83810.0
SUTTER AVENUE,53470.0
SUTTER AVENUE-RUTLAND ROAD,117736.0
TREMONT AVENUE,151733.0
UNION STREET,173195.0
UTICA AVENUE,302412.0
VAN SICLEN AVENUE,161201.0
VERNON BLVD.-JACKSON AVE.,374426.0
WALL STREET,699818.0
WHITEHALL ST.-SOUTH FERRY,587699.0
WHITLOCK AVENUE,33141.0
WILSON AVENUE,96250.0
WINTHROP STREET,154726.0
WOODHAVEN BLVD.,474768.0
WOODLAWN,118409.0
YORK STREET,332086.0
ZEREGA AVENUE,43003.0
14 ST.-UNION SQUARE,2042039.0
14 STREET,115310.0
WEST 34 STREET/HUDSON YARDS,578606.0
75 ST.-ELDERTS LANE,68539.0
81 ST.-MUSEUM OF NATURAL HISTO,294550.0
82 ST.-JACKSON HEIGHTS,313239.0
AQUEDUCT-NORTH CONDUIT AVE.,15755.0
BEDFORD-NOSTRAND AVENUES,190117.0
BEDFORD PK. BLVD.,121054.0
BEDFORD PK. BLVD.-LEHMAN COLLE,93355.0
CLINTON-WASHINGTON AVENUES,282592.0
EAST 143 ST.-ST. MARY'S STREET,37372.0
GRAND AVE.-NEWTON,380998.0
HOYT-SCHERMERHORN,261035.0
KINGSTON-THROOP AVENUES,140280.0
KOSCIUSKO STREET,118375.0
MYRTLE-WILLOUGHBY AVENUES,102556.0
MYRTLE/WYCKOFF AVENUES,466433.0
WEST 8 STREET-NY AQUARIUM,56104.0
